Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Coordinates,Latitude,Longitude
11/12/2001,9:16,"Belle Harbor, Queens, New York",American Airlines,587,"New York City - Santo Domingo, Dominican Rep.",Airbus A-300-605R,N14053,420,260,260,5,"Three minutes after taking off and while in a climbing left turn, at 2,800 ft., parts of the plane, including the vertical stabilizer and rudder, fell from the aircraft. The crew soon lost control of the plane which nose dived and crashed into a residential neighborhood. After flying into the wake turbulence of two aircraft about two minutes into the flight, investigators believe a series of quick rudder swings by the copilot whipped the tail so severely that the fin broke off. The National Transportation Safety Board has found that pilot error was the probable cause. Sharply criticizing American Airlines Advanced Aircraft Maneuvering Program, the Board said that American Airlines' pilot training included a simulator exercise which could have caused the first officer to have an unrealistiand exaggerated view of the effects of wake turbulence, erroneously associate wake turbulence encounters with the need for aggressive roll upset recovery techniques and develop control strategies that would produce a much different -- and potentially surprising and confusing -- response if performed during flight. In addition, because of its high sensitivity, the Airbus A-300-600 rudder control system is susceptible to potentially hazardous rudder pedal inputs at higher airspeed.","40.5754846,-73.8507279",40.5754846,-73.8507279
9/11/2001,8:47,"New York City, New York",American Airlines,11,Boston - Los Angeles,Boeing 767-223ER,N334AA,22332/169,92,92,2750,"The aircraft was hijacked shortly after it left Logan International Airport in Boston. The hijackers took control of the aircraft and deliberately crashed it into the north tower of the World Trade Center between the 94th and 99th floors at approximately 450 mph.  After 102 minutes, the building collapsed. It was one of four planes that were hijacked the same day.","40.7127753,-74.0059728",40.7127753,-74.0059728
9/11/2001,9:03,"New York City, New York",United Air Lines,175,Boston - Los Angeles,Boeing B-767-222,N612UA,21873/41,65,65,2750,"The aircraft was hijacked shortly after it left Logan International Airport in Boston. The hijackers took control of the aircraft and deliberately crashed it into the south tower of the World Trade Center between the 78th and 84th floors at approximately 550 mph. After 56 minutes, the building collapsed. It was one of four planes that were hijacked the same day.","40.7127753,-74.0059728",40.7127753,-74.0059728
9/11/2001,9:45,"Arlington, Virginia.",American Airlines,77,Washington D.C. - Los Angeles,Boeing B-757-223,N644AA,24602/365,64,64,125,The aircraft was hijacked after taking off from Dulles International Airport. The hijackers took control of the aircraft and deliberately crashed it into the Pentagon. It was one of four planes that were hijacked the same day.,"38.8799697,-77.1067698",38.8799697,-77.1067698
9/11/2001,10:03,"Shanksville, Pennsylvania",United Air Lines,93,Newark - San Francisco,Boeing B-757-222,N591UA,28142/718,44,44,0,The aircraft was hijacked after taking off from Newark International Airport. The hijackers took control of the aircraft and turned the plane towards Washington D.C.  A struggle ensued between the passengers and hijackers after which the plane crashed at a high rate of speed into a field in the Pennsylvania countryside. It was one of four planes that were hijacked the same day.,"40.0178571,-78.9072458",40.0178571,-78.9072458
3/3/2001,14:48,"Bangkok, Thailand",Thai Airways,114,Bangkok - Chiang Mai.,Boeing B-737-4D7,HS-TDC,25321/2113,5,1,0,"The aircraft exploded and caught fire 35 minutes before its scheduled takeoff. Five members of the cabin crew were the only people aboard the plane at the time. Witnesses said they heard an explosion before flames erupted aboard the aircraft. NTSB investigators reported that the center fuel tank exploded followed by the right tank 18 minutes later. The cause for the explosion was unclear. The center fuel tank is located near air conditioning packs which generate heat, and were running nonstop prior to the explosion.","13.7563309,100.5017651",13.7563309,100.5017651
11/20/2000,12:22,"Miami, Florida",American Airlines,,"Miami, FL - Port au Prince",Airbus A300-600R,N14056,463,114,1,0,"After climbing through 16,000 ft. the crew descovered cabin pressure could not be maintained and returned to the airport.  After landing the ram air switch failed to depressurize the aircraft. Moments later the left foreward door exploded open ejecting a flight attendant onto the tarmac.","25.7616798,-80.1917902",25.7616798,-80.1917902
10/31/2000,23:17,"Taipei, Taiwan",Singapore Airlines,6,Taipei - Los Angeles,Boeing B-747-412,9V-SPK,28023/1099,179,83,0,"Weather conditions at the time were extremely poor due to typhoon Xiang Sane. A NOTAM issued on Aug 31, 2000 indicated that Runway 05R was closed due to construction between Sep 13 and Nov 22. After reaching the end of Taxiway NP, the plane turned onto Taxiway N1 and then made a 180-degree turn onto Runway 05R and began its takeoff roll. Approximately 3.5 seconds after reaching V1, the aircraft hit construction equipment on the runway, crashed back to the ground, broke up and burst into flames. The pilot attempted to take off from a closed runway. The following factors contributed to the accident. Of three lights used to guide the aircraft onto the correct runway, one was not working and another dim. The airport lacked 'guard lights' used to help pilots navigate from the taxiway to the correct runway during times of poor visibility. International regulations require that a large white X be placed on the tarmaat the entrance to a closed runway, but there was none at the entrance of runway 5R. Whether there should have been, in this case, however, is itself a contentious matter as the runway remained open for taxiing.","25.0329694,121.5654177",25.0329694,121.5654177
10/6/2000,16:55,"Reynosa, Mexico",Aeromexico,250,Mexico City - Reynosa - Matamoros,McDonnell Douglas DC-9-31,N936ML,47501/571,88,0,4,"The aircraft overshot the runway near Reynosa, Mexico and crashed into vehicles and houses coming to rest in a canal. The accident happened during a heavy rainstorm. The lights at the airport were out due to the storm and contact with the tower was lost. No passengers were killed aboard the aircraft but four people were killed on the ground.","26.0508406,-98.2978951",26.0508406,-98.2978951
8/23/2000,19:30,"Off Manama, Bahrain",Gulf Air,72,Cairo - Manama,Airbus A320-212,A4O-EK,481,143,143,0,"The aircraft crashed into the Persian Gulf and exploded in flames while attempting to land at Bahrain International Airport. The crew decided to perform a missed approach after it was determined the aircraft was coming in too high and fast. Instructions were given for a 180 degree turn and climb to 2,500 feet. While performing the missed approach the plane suddenly descended rapidly from an altitude of 1,000 feet and crashed into the shallow waters of the gulf approximately 1 mile from the airport. The accident was a result of a fatal combination of factors, including the captain's failure to comply with standard operating procedures and the copilot's actions in not drawing the captain's attention to the deviations of the aircraft from the standard flight parameters. The captain may have suffered a 'spatial disorientation' to ground warning systems, which could have made him falsely perceive the aircraft was pitching up. He responded by making a nose down input, resulting in the aircraft starting to descend, when aircraft warning systems were saying he should increase altitude.","26.2235305,50.5875935",26.2235305,50.5875935
7/25/2000,16:44,"Gonesse, France",Air France,4590,Paris - New York City,Aerospatiale BAe Concorde 101,F-BTSC,203,109,109,4,"The aircraft struggled to gain altitude after taking off from Charles de Gaulle airport. The pilot reported the No. 2 engine failed and struggled to steer towards Le Bourget airfield as smoke and fire trailed the jet's left wing.   The plane was unable to gain altitude, went nose high, stalled and crashed into a small hotel complex.  A metal strip left on the runway by another plane gashed one of the Concorde's tires which blew out sending a piece of rubber into the underside of the wing which sent a shockwave which ruptured a seam in the fuel tank. An electrical severed by another piece of rubber sparked which ignited leaking fuel ignited and started an uncontrollable fire. Power was lost to the No. 1 and No. 2 engines which led to loss of control of the aircraft and subsequent crash. Investigation revealed the metal strip was probably a thrust reverser part from Continental Airlines DC-10-30 , registered N13067 which departed Paris as Flight 055 to Newark. This is the first crash of a Concorde in aviation history.","48.9864632,2.4497721",48.9864632,2.4497721
3/5/2000,18:11,"Burbank, Calilfornia",Southwest Airlines,1455,Las Vegas - Burbank,Boeing B-737-3T5,N668SW,23060/1069,142,0,0,"While attempting to land at Burbank Airport, the plane overran the runway, collided with a metal blast fence and an airport perimeter wall and came to rest on a city street near a gas station. The plane touched down at 182 knots, 2,150 feet past the runway threshold, too fast and too far down the runway for the plane to stop in time.  In the accident sequence,  the nose gear collapsed, the forward service door (1R) escape slide inflated inside the airplane and  the forward dual flight attendant jumpseat, which was occupied by two flight attendants, partially collapsed. Two passengers sustained serious injuries and 41 passengers and the captain sustained minor injuries. The flightcrew's excessive airspeed and flight path angle during the approach and landing and its failure to abort the approach when stabilized approach criteria were not met. Contributing to the accident was the controller's positioning of the airplane in such a manner as to leave no safe options for the flightcrew other than a go-around maneuver.","34.1808392,-118.3089661",34.1808392,-118.3089661
1/31/2000,16:21,"Off Point Mugu, California",Alaska Airlines,261,Puerto Vallarta - San Francisco,McDonnell Douglas MD-83,N963AS,53077/1995,88,88,0,"The aircraft crashed into the PacifiOcean south of Point Mugu in 650 ft. feet of water while en route from Puerto Vallarta to San Francisco. Radio transmissions from the plane indicated the pilots were struggling with a jammed stabilizer for the last 11 minutes of the flight before nose-diving into the sea. While preparing to make an emergency landing at Los Angeles International Airport control was lost and the MD-83 was seen in a nose-down attitude, spinning and tumbling in a continuous roll, inverted, before it impacted the sea.  Loss of airplane pitch control resulting from in-flight failure of the horizontal stabilizer trim system jackscrew assembly's acme nut thread. The component failed because of excessive wear resulting from Alaska Airlines' insufficient lubrication of the jackscrew assembly. Contributing to the accident were Alaska Airlines' extended lubrication interval and the Federal Aviation Administration's approval of that extension, which increased the likelihood that a missed or inadequate lubrication would result in excessive wear of the acme nut threads and Alaska Airlines' extended end play check interval and the FAA's approval of that extension, which allowed the excessive wear of the acme nut threads to progress to failure without the opportunity for detection. Also contributing to the accident was the absence on the McDonnell Douglas MD-80 of a fail-safe mechanism to prevent the catastrophieffects of total acme nut thread loss. Cynthia Oti, radio financial talk show host, Dean Forshee, guitarist, Jean Gandesberry, columnist, Tom Stockley, columnist were among those killed.","34.0855624,-119.0609350",34.0855624,-119.060935
1/30/2000,21:08,"Off Abidjan, Ivory Coast",Kenya Airways,431,Abidjan - Lagos,AirbusA310-304,5Y-BEN,426,179,169,0,"The aircraft crashed into the AtlantiOcean three minutes after taking off from Felix Houphouet-Boigny Airport.  A few seconds after lifting off the ground the stall warning sounded and continued for about 20 seconds until it was manually turned off by the crew. Three seconds later the plane impacted the water. The pilot's response to an alarm that inaccurately indicated the plane had stalled. The pilot failed to complete established procedure for such an emergency. Takeoff conditions also contributed to the accident, which occurred at night, hampering the crew's ability to judge the plane's distance from the sea.","5.3599517,-4.0082563",5.3599517,-4.0082563
1/15/2000,13:10,"San Jose, Costa Rica",TACA,,San Jose - Tortuguero,Let 410UVP-E,YS-09-C,861620,20,5,0,The aircraft was not able to maintain altitude after taking off and crashed into a house. The aircraft was overloaded. Lack of safety instruction to passengers. Flaps not properly selected. Took off with out clearance.,"9.9280694,-84.0907246",9.9280694,-84.0907246
12/22/1999,18:38,"Great Hallingbury, United Kingdom",Korean Air,8509,"London, England - Milan, Italy",Boeing 747-2B5F,HL-7451,22480/448,4,4,0,"Shortly after taking off the ADI comparator alarm sounded three times. Shortly afterwards, the warning sounded a further two times. As the captain initiated a procedural turn to the left, the comparator warning sounded 9 more times.. The aircraft then banked left progressively and entered a descent until it struck the ground in a 40 degree nose down attitude at a high rate of speed. The pilots did not respond appropriately to the comparator warnings during the climb after takeoff from Stansted despite prompts from the flight engineer. The commander, as the handling pilot, maintained a left roll control input, rolling the aircraft to approximately 90 of left bank and there was no control input to correct the pitch attitude throughout the turn. The first officer either did not monitor the aircraft attitude during the climbing turn or, having done so, did not alert the commander to the extreme unsafe attitude that developed.","51.8553402,0.1945479",51.8553402,0.1945479
10/31/1999,6:52,"Off Nantucket Island, Massachusetts",EgyptAir,990,New York City - Cairo,Boeing B-767-366ER,SU-GAP,24542/282,217,217,0,"The plane took off from JFK at 1:19 a.m. bound for Cairo, Egypt. Thirty-three minutes later, after attaining an altitude of 33,000 feet, it was observed on radar in an extremely rapid descent. The aircraft was observed in a 66 degree dive at 483 knots. The descent continued to 16,700 feet after which the aircraft climbed to 24,000 ft.   After that, the plane began a second dive and broke up at around 10,000 ft. crashing into the AtlantiOcean, 60 miles southeast of Nantucket Island.  The aircraft was named Thutmosis III. The accident was caused by the relief first officer's flight control inputs which caused the airplane's departure from normal cruise flight and subsequent impact with the AtlantiOcean. The reason for the first officer's actions were not determined by the NTSB. One could conclude the actions were deliberate in an attempt to commit suicide.","41.2834704,-70.0994510",41.2834704,-70.099451
7/23/1999,11:25,"Tokyo, Japan",All Nippon Airways,61,"Tokyo, Japan - Chitose, Japan",Boeing B-747,,,517,1,0,"Two minutes after taking off from Haneda Airport, a man carrying a knife forced a flight attendant to take him in the cockpit of the plane.  A fan of computer flight-simulation games, he stated he just wanted to fly a real plane.  After forcing the co-pilot out of the cockpit he ordered the captain to fly to a U.S. Air Force base in western Tokyo. When he refused, he stabbed the captain and seized the controls. After a sudden drop in altitude, the co-pilot and an off duty crew member entered the cockpit and overpowered the hijacker.  A one point the plane plunged to within 984 feet of the ground. The plane ultimately  landed safely but the captain died of his injuries.","35.6761919,139.6503106",35.6761919,139.6503106
6/1/1999,23:50,"Little Rock, Arkansas",American Airlines,1420,Dallas-Fort Worth - Little Rock,McDonnell Douglas MD-82,N215AA,49163/1111,145,11,0,"The plane was on a flight from Dallas/Fort Worth, Texas to Little Rock, Arkansas. While attempting to land at Little Rock Airport, the flight encountered heavy thunderstorms, rain and strong winds. The aircraft landed fast and hard, skidded off the end of the runway and struck a landing light tower, breaking into three parts and bursting into flames. Crew's decision to continue the approach despite severe thunderstorms in the area and crosswinds that  exceeded American Airlines' guidelines. The crew did not arm the automatispoiler system before landing or manually deploy the spoilers after touchdown. Fatigue, the crew had been awake for nearly 16 hours.","34.7464809,-92.2895948",34.7464809,-92.2895948
4/15/1999,16:05,"Shanghi, China",Korean Air,6316,"Shanghi, China - Seoul, Korea",McDonnell Douglas MD-11,HL-7373,48409/490,3,3,0,"Shortly after taking off  and after getting into a disagreement with the first officer about the planes altitude, the captain pushed down on the control column and the plane entered a rapid descent. Both crew members tried to recover from the dive but were unable to gain control and the plane crashed into the ground and was destroyed.","31.2304160,121.4737010",31.230416,121.473701
12/11/1998,19:10,"Surat Thani, Thailand",Thai Airways,261,Bangkok - Surat Thani,Airbus A-310-204,HS-TIA,415,146,102,0,"The plane crashed 2 miles southwest of Surat Thani Airport. The accident occurred in poor visibility and heavy rain. After a third landing attempt, the plane could not gain altitude and crashed into a paddy field. First reports suggest the aircraft stalled and pancaked into the ground tail first. Spatial disorientation when the nose pitched up sharply during a nighttime approach in stormy weather.","9.1341949,99.3334198",9.1341949,99.3334198
4/20/1998,16:47,"Bogota, Colombia",Air France,422,Bogota - Quito,Boeing B-727-230,HC-BSU,21622/1431,53,53,0,"The aircraft, leased from TAME, crashed atop fog covered Cerro el Cable mountain and exploded into flames, three minutes after taking off from Bogota's El Dorado airport. The aircraft was leased to Air France by TAME airlines. The crew did not turn in the proper direction after reaching the Romeo non-directional beacon even though the flight crew acknowledged an air trafficontroller's warning that they were off course.","4.7109886,-74.0720920",4.7109886,-74.072092
12/28/1997,23:10,Over the PacifiOcean,United Air Lines,826,Tokyo - Honolulu,Boeing B-747-122,N4723U,19882/175,393,1,0,"Two hours into the flight, at FL 310, the plane received reports of severe clear air turbulence in the area and the seat belt sign was turned on. Moments later, the aircraft suddenly dropped around one hundred feet seriously injuring many passengers and causing damage to the aircraft. The plane landed safely back at Tokyo, but  one passenger died of her injuries.","-8.7831950,-124.5085230",-8.783195,-124.508523
9/3/1997,14:00,"Phnom Penh, Cambodia",Vietnam Airlines,815,Ho Chi Minh City - Phnom Penh,Tupolev TU-134,VN-A120,66360,66,65,0,"The plane was on a flight from Ho Chi Minh City to Phnom Penh when it crashed while making an approach to Pochentong International Airport in heavy rain. The plane clipped palm trees and exploded in flames after crashing into a rice paddy, one-half mile from the runway. The only survivor was a one-year-old boy. Pilot error. The captain failed to heed the warnings of the flight engineer and first officer that the plane was flying too low and failed to abort the landing.","11.5563738,104.9282099",11.5563738,104.9282099
7/21/1997,13:08," Ranong, Thailand",Singapore Airlines,,Phuket - Ranong,Learjet 31,9V-ATD,31-033B,2,2,0,On a training flight the instructor misread the Ranong DME and causing the trainee pilot to descend below minimum altitude in poor weather conditions. The aircraft  flew into high terrain.,"9.9528702,98.6084641",9.9528702,98.6084641
11/23/1996,15:15,"Off Moroni, Comoros",Ethiopian Airlines,961,Addis Ababa - Nairobi,Boeing B-767-200ER,ET-AIZ,23916/187,175,127,0,"The aircraft was hijacked shortly after taking off from Ethiopia by three drunken escaped prisoners. They demanded to be flown to Australia, but wouldn't let the pilot stop to refuel. The plane eventually ran out of fuel and ditched 500 feet offshore of Le Galawa Beach on the island of Grand Comoros. When it was aparent the plane was out of fuel, the hijackers fought the pilot for control of the aircraft. In the last seconds aloft, the left wing tip struck the water and the plane crashed into the sea flipping at least once before breaking into several  parts. The water was shallow but many passengers had inflated their safety vests which prevented them from swimming out from under the cabin and they drowned.","-11.7172157,43.2473146",-11.7172157,43.2473146
10/8/1996,10:50,"San Francesco al Campo, Italy",Aeroflot,9981,"Moscow - Turin, Italy",Antonov An-124,RA-82069,9.77E+12,23,2,0,The cargo plane struck trees and a house while making a second attempt to land.,"45.2279790,7.6461364",45.227979,7.6461364
7/6/1996,15:42,"Pensacola, Florida",Delta Air Lines,1288,Pensacola - Atlanta,McDonnell Douglas MD-88,N927DA,49714/1524,142,2,0,Fan disk separation in the left engine. Pieces of the engine penetrated the passenger cabin killing two passengers. The fan hub for the left engine was found to be fractured and went undetected at time of manufacture. The crack should have been detectable during inspection but was missed.,"30.4213090,-87.2169149",30.421309,-87.2169149
12/20/1995,21:38," Buga, Valle del Cauca, Colombia",American Airlines,965,Miami - Cali,Boeing B-757-223,N651A,24609,164,160,0,"While on a flight from Miami, FL to Cali, Columbia the aircraft crashed into Mt. El Deluvio 38 miles north of Cali while attempting to land. On approach, the crew was requested to report over Tulua VOR which they already passed. This confused them and they decided to go direct to Rozo beacon. Entering the abbreviation 'R', incorrectly steered the plane towards Bogota. More than a minute into the  turn the crew steered manually toward Cali, but this now took them into the path of a mountain. Crew error. Lack of situational awareness, failure to adequately plan and execute the approach, failure to realize that the FMS had turned the aircraft toward mountains. Crew also neglected to retract the speed brakes after the Ground Proximity Warning System alert.  Lack of adequate radar. Different  Flight Management System naming convention from that published in navigational charts.","3.8946048,-76.3055772",3.8946048,-76.3055772
9/15/1995,12:22,"Tawau,  Malaysia",Malaysia Airlines,2133,Kota Kinabalu - Tawau,Fokker 50,9M-MGH,20174,53,34,0,"Following a visual approach, the aircraft landed long and fast and overran the end of the runway into a shanty town while attempting a go-around.","4.2446510,117.8911861",4.244651,117.8911861
6/16/1995,14:15,"Moscow, Russia",Aeroflot,,Poliny - Nikolayevsk-on-Amur,Antonov AN-2,RA-07743,1G259-18,14,13,0,Flying VOR the plane ran into poor weather and the pilot decided to return however crashed into trees while attempting to land.,"55.7558260,37.6172999",55.755826,37.6172999
3/16/1995,,"Ossora, Russia",Aeroflot,,Petropavlovsk -  Ossora,Antonov 26B,RA-26084,11806,10,9,0,The cargo plane flew into high ground while on approach in poor weather conditons.,"59.2330820,163.0675350",59.233082,163.067535
12/26/1994,17:00,"Algiers Airport, Algeria",Air France,8969,Alger - Paris,Airbus A300B2-1C,F-GBEC,104,239,3,0,The aircraft was hijacked by terrorists. Three passengers and four hijackers were killed when the plane was stormed.,"36.6975267,3.2067834",36.6975267,3.2067834
8/21/1994,," Agadir, Morocco",Royal Air Maroc,630,Agadir - Casablanca,Aerospatiale ATR-42-300,CN-CDT,127,44,44,0,"The aircraft entered a steep dive from 16,000 ft. and crashed 10 minutes after taking off from Agadir. The pilot was blamed for disconnecting the autopilot and deliberately causing the crash and committing suicide. This was challenged by the Moroccan Pilot's Union.","30.4277547,-9.5981072",30.4277547,-9.5981072
6/6/1994,8:20," Xi'an, China",Northwest Airlink,2303,Xian - Guangzhou,Tupolev TU-154M,B-2610,86A-740,160,160,0,The plane broke-up in flight 10 minutes after taking off. Auto-pilot induced oscillations caused the aircraft to shake violently. The autopilot yaw-channel was accidentally connected to the bank control and the bank-channel to the yaw controls.,"34.3415740,108.9397700",34.341574,108.93977
3/2/1994,17:59,"New York, New York",Continental Airlines,795,New York City - Denver,McDonnell Douglas MD-82,N18835,49439,116,0,0,"The aircraft overran the runway and came to rest at the edge of the east river, after an aborted takeoff. Failure to turn on the pilot/statiheat system resulting in erroneous air speed indication. Though heavily damaged, the plane was repaired and put back into service.","40.7127753,-74.0059728",40.7127753,-74.0059728
12/1/1993,19:50,"Hibbing, Minnesota",Northwest Airlink,5719,Minneapolis/St. Paul - Hibbing,British Aerospace Jetstream BA-3100,N334PX,706,18,18,0,"While on approach, the aircraft collided with trees and terrain 3 miles from the runway threshold in fog and freezing drizzle. Delay by the captain to start the descent which led to a breakdown in crew coordination and the loss of altitude awareness by the flightcrew during an unstabilized approach in night instrument meteorological conditions.","47.4271546,-92.9376887",47.4271546,-92.9376887
9/14/1993,15:33,"Warsaw, Poland",Lufthansa,2904,Frankfurt - Warszawa,Airbus A320-211,D-AIPN,105,70,2,0,"The aircraft skidded off  the end of the runway while landing. The crew was made aware of windshear at approach end of runway but not of poor water drainage on the runway nor a change in wind direction. A very light touch of the runway surface with the landing gear and lack of compression of the left landing gear leg to the extent understood by the aircraft computer as the actual landing, resulted in delayed deployment of spoilers and thrust reversers. The delay was about 9 seconds. Thus, the braking commenced with delay and in a condition of heavy rain and strong tailwind the aircraft did not stop on the runway. The aircraft was named Kulbach.","52.2296756,21.0122287",52.2296756,21.0122287
7/23/1993,15:40,"Yinchuan, China",Northwest Airlink,2119,Yinchuan - Beijing,British Aerospace 146-300,B-2716,E-3215,113,55,0,The aircraft crashed into a lake after it was unable to get airborne while attempting to takeoff. Mechanical failure. Flaps selected but did not extend.,"38.4871930,106.2309080",38.487193,106.230908
11/14/1992,7:10," Nha Trang, Vietnam",Vietnam Airlines,474,Ho Chi Minh City - Nha Trang,Yakovlev YAK-40,VN-A449,9631848,31,30,0,Crashed into a hilly area while landing during a severe rainstorm.  Failure to supply an adequate weather report or interpret the report correctly. Failure to appreciate the severity of the weather encountered on route and to take appropriate evasive action. Failure to provide adequate airfield approach aids to support the all weather operations required.  Failure to maintain adequate terrain clearance.  Poor Air TraffiControl.,"12.2387911,109.1967488",12.2387911,109.1967488
10/29/1992,,"Chita, Russia",Aeroflot,,Petropavlovsk - Novosobrisk,Antonov AN-8,CCCP-69346,OD-3430,14,13,0,"Crashed 1,600m short of the runway threshold while attempting to land at Chita.","52.0515032,113.4711906",52.0515032,113.4711906
